"term","description","url","package","title",
"scale_color_colorblind()","scale color aesthetic to colorblind safe colors","http://jrnold.github.io/ggthemes/reference/colorblind.html","ggthemes","R4DS-2e Ch. 01","ggthemes::scale_color_colorblind()"
"sin()","compute sine","https://rdrr.io/r/base/Trig.html","base","R4DS-2e Ch. 02","base::sin()"
"where()","select the variables for which a function returns TRUE","https://tidyselect.r-lib.org/reference/where.html","tidyselect","R4DS-2e Ch. 03","tidyselect::where()"
"cols_only()","include only the columns you explicitly specify","https://readr.tidyverse.org/reference/cols.html","readr","R4DS-2e Ch. 07","readr::cols_only()"
"geom_density_ridges()","arrange multiple density plots in a staggered fashion","https://wilkelab.org/ggridges/reference/geom_density_ridges.html","ggridges","R4DS-2e Ch. 09","ggridges::geom_density_ridges()"
"map_data()","turn data from the maps package into a data frame","https://ggplot2.tidyverse.org/reference/map_data.html","ggplot2","R4DS-2e Ch. 09","ggplot2::map_data()"
"geom_bin2d()","create heatmap of 2D  bin counts","https://ggplot2.tidyverse.org/reference/geom_bin_2d.html","ggplot2","R4DS-2e Ch. 10","ggplot2::geom_bin2d()"
"geom_label_repel()","add text labels (with rectangles) repelled away from each other","https://ggrepel.slowkow.com/reference/geom_text_repel.html","ggrepel","R4DS-2e Ch. 11","ggrepel::geom_label_repel()"
"geom_text_repel()","add text labels repelled away from each other","https://ggrepel.slowkow.com/reference/geom_text_repel.html","ggrepel","R4DS-2e Ch. 11","ggrepel::geom_text_repel()"
"guide_area()","place guides (e.g., legend) inside plot area","https://patchwork.data-imaginist.com/reference/guide_area.html","patchwork","R4DS-2e Ch. 11","patchwork::guide_area()"
"label_dollar()","format numbers as currency","https://scales.r-lib.org/reference/label_currency.html","scales","R4DS-2e Ch. 11","scales::label_dollar()"
"label_percent()","format numbers as percentages","https://scales.r-lib.org/reference/label_percent.html","scales","R4DS-2e Ch. 11","scales::label_percent()"
"plot_annotation()","annotate patchwork plots","https://patchwork.data-imaginist.com/reference/plot_annotation.html","patchwork","R4DS-2e Ch. 11","patchwork::plot_annotation()"
"interaction()","computer a factor that represents the interaction of given factors","https://rdrr.io/r/base/interaction.html","base","R4DS-2e Ch. 13","base::interaction()"
"first()","extract first element from vector","https://dplyr.tidyverse.org/reference/nth.html","dplyr","R4DS-2e Ch. 13","dplyr::first()"
"nth()","extract nth element from vector","https://dplyr.tidyverse.org/reference/nth.html","dplyr","R4DS-2e Ch. 13","dplyr::nth()"
"last()","extract last element from vector","https://dplyr.tidyverse.org/reference/nth.html","dplyr","R4DS-2e Ch. 13","dplyr::last()"
"separate_longer_delim()","splits string into multiple rows by delimiter","https://tidyr.tidyverse.org/reference/separate_longer_delim.html","tidyr","R4DS-2e Ch. 14","tidyr::separate_longer_delim()"
"separate_longer_position()","splits string into multiple rows by position","https://tidyr.tidyverse.org/reference/separate_longer_delim.html","tidyr","R4DS-2e Ch. 14","tidyr::separate_longer_position()"
"separate_wider_delim()","splits string column into multiple columns by delimiter","https://tidyr.tidyverse.org/reference/separate_wider_delim.html","tidyr","R4DS-2e Ch. 14","tidyr::separate_wider_delim()"
"separate_wider_position()","splits string column into multiple columns by position","https://tidyr.tidyverse.org/reference/separate_wider_delim.html","tidyr","R4DS-2e Ch. 14","tidyr::separate_wider_position()"
