term,description,url,package,title
scale_color_colorblind(),NA,NA,NA,R4DS-2e Ch. 01
sin(),NA,NA,NA,R4DS-2e Ch. 02
df(),NA,NA,NA,R4DS-2e Ch. 03
hours(),NA,NA,NA,R4DS-2e Ch. 03
where(),NA,NA,NA,R4DS-2e Ch. 03
family(),NA,NA,NA,R4DS-2e Ch. 05
cols_only(),NA,NA,NA,R4DS-2e Ch. 07
geom_density_ridges(),NA,NA,NA,R4DS-2e Ch. 09
map_data(),NA,NA,NA,R4DS-2e Ch. 09
density(),NA,NA,NA,R4DS-2e Ch. 10
fit(),NA,NA,NA,R4DS-2e Ch. 10
geom_bin2d(),NA,NA,NA,R4DS-2e Ch. 10
linear_reg(),NA,NA,NA,R4DS-2e Ch. 10
compact(),NA,NA,NA,R4DS-2e Ch. 11
end(),NA,NA,NA,R4DS-2e Ch. 11
geom_label_repel(),NA,NA,NA,R4DS-2e Ch. 11
geom_text_repel(),NA,NA,NA,R4DS-2e Ch. 11
guide_area(),NA,NA,NA,R4DS-2e Ch. 11
label_dollar(),NA,NA,NA,R4DS-2e Ch. 11
label_percent(),NA,NA,NA,R4DS-2e Ch. 11
plot_annotation(),NA,NA,NA,R4DS-2e Ch. 11
scale_fill_viridis_b(),NA,NA,NA,R4DS-2e Ch. 11
start(),NA,NA,NA,R4DS-2e Ch. 11
diff(),NA,NA,NA,R4DS-2e Ch. 13
interaction(),NA,NA,NA,R4DS-2e Ch. 13
nth(),NA,NA,NA,R4DS-2e Ch. 13
debug(),NA,NA,NA,R4DS-2e Ch. 14
separate_longer_delim(),NA,NA,NA,R4DS-2e Ch. 14
separate_longer_position(),NA,NA,NA,R4DS-2e Ch. 14
separate_wider_delim(),NA,NA,NA,R4DS-2e Ch. 14
separate_wider_position(),NA,NA,NA,R4DS-2e Ch. 14
separate_wider_regex(),NA,NA,NA,R4DS-2e Ch. 15
fct(),NA,NA,NA,R4DS-2e Ch. 16
as.duration(),NA,NA,NA,R4DS-2e Ch. 17
as_hms(),NA,NA,NA,R4DS-2e Ch. 17
col_date(),NA,NA,NA,R4DS-2e Ch. 17
ddays(),NA,NA,NA,R4DS-2e Ch. 17
dhours(),NA,NA,NA,R4DS-2e Ch. 17
dminutes(),NA,NA,NA,R4DS-2e Ch. 17
dseconds(),NA,NA,NA,R4DS-2e Ch. 17
dweeks(),NA,NA,NA,R4DS-2e Ch. 17
dyears(),NA,NA,NA,R4DS-2e Ch. 17
make_datetime_100(),NA,NA,NA,R4DS-2e Ch. 17
minutes(),NA,NA,NA,R4DS-2e Ch. 17
numeric(),NA,NA,NA,R4DS-2e Ch. 18
closest(),NA,NA,NA,R4DS-2e Ch. 19
cross_join(),NA,NA,NA,R4DS-2e Ch. 19
join_by(),NA,NA,dplyr,R4DS-2e Ch. 19
overlaps(),NA,NA,NA,R4DS-2e Ch. 19
q(),NA,NA,NA,R4DS-2e Ch. 19
gs4_deauth(),NA,NA,NA,R4DS-2e Ch. 20
gs4_example(),NA,NA,NA,R4DS-2e Ch. 20
sheet_names(),NA,NA,NA,R4DS-2e Ch. 20
copy_nycflights13(),NA,NA,NA,R4DS-2e Ch. 21
dbListTables(),NA,NA,NA,R4DS-2e Ch. 21
duckdb(),NA,NA,NA,R4DS-2e Ch. 21
mutate_query(),NA,NA,NA,R4DS-2e Ch. 21
sql(),NA,NA,NA,R4DS-2e Ch. 21
summarize_query(),NA,NA,NA,R4DS-2e Ch. 21
file.path(),NA,NA,NA,R4DS-2e Ch. 22
file.size(),NA,NA,NA,R4DS-2e Ch. 22
multi_download(),NA,NA,NA,R4DS-2e Ch. 22
open_dataset(),NA,NA,NA,R4DS-2e Ch. 22
schema(),NA,NA,NA,R4DS-2e Ch. 22
string(),NA,NA,NA,R4DS-2e Ch. 22
system.time(),NA,NA,NA,R4DS-2e Ch. 22
to_duckdb(),NA,NA,NA,R4DS-2e Ch. 22
write_dataset(),NA,NA,NA,R4DS-2e Ch. 22
gh_users_json(),NA,NA,NA,R4DS-2e Ch. 23
is.list(),NA,NA,NA,R4DS-2e Ch. 23
location(),NA,NA,NA,R4DS-2e Ch. 23
html_attr(),NA,NA,NA,R4DS-2e Ch. 24
html_element(),NA,NA,NA,R4DS-2e Ch. 24
html_elements(),NA,NA,NA,R4DS-2e Ch. 24
html_table(),NA,NA,NA,R4DS-2e Ch. 24
html_text2(),NA,NA,NA,R4DS-2e Ch. 24
minimal_html(),NA,NA,NA,R4DS-2e Ch. 24
read_html(),NA,NA,NA,R4DS-2e Ch. 24
str_remove(),NA,NA,NA,R4DS-2e Ch. 24
table(),NA,NA,NA,R4DS-2e Ch. 24
url(),NA,NA,NA,R4DS-2e Ch. 24
after_scale(),NA,NA,NA,R4DS-2e Ch. 25
body(),NA,NA,NA,R4DS-2e Ch. 25
clamp(),NA,NA,NA,R4DS-2e Ch. 25
clean_number(),NA,NA,NA,R4DS-2e Ch. 25
commas(),NA,NA,NA,R4DS-2e Ch. 25
conditional_bars(),NA,NA,NA,R4DS-2e Ch. 25
count_missing(),NA,NA,NA,R4DS-2e Ch. 25
count_prop(),NA,NA,NA,R4DS-2e Ch. 25
count_wide(),NA,NA,NA,R4DS-2e Ch. 25
cv(),NA,NA,NA,R4DS-2e Ch. 25
englue(),NA,NA,NA,R4DS-2e Ch. 25
file.access(),NA,NA,NA,R4DS-2e Ch. 25
first_upper(),NA,NA,NA,R4DS-2e Ch. 25
group_vars(),NA,NA,NA,R4DS-2e Ch. 25
grouped_mean(),NA,NA,NA,R4DS-2e Ch. 25
hex_plot(),NA,NA,NA,R4DS-2e Ch. 25
histogram(),NA,NA,NA,R4DS-2e Ch. 25
linearity_check(),NA,NA,NA,R4DS-2e Ch. 25
pick(),NA,NA,NA,R4DS-2e Ch. 25
rescale01(),NA,NA,NA,R4DS-2e Ch. 25
sorted_bars(),NA,NA,NA,R4DS-2e Ch. 25
stat_summary_hex(),NA,NA,NA,R4DS-2e Ch. 25
summary6(),NA,NA,NA,R4DS-2e Ch. 25
unique_where(),NA,NA,NA,R4DS-2e Ch. 25
var(),NA,NA,NA,R4DS-2e Ch. 25
vars(),NA,NA,NA,R4DS-2e Ch. 25
basename(),NA,NA,NA,R4DS-2e Ch. 26
carat_histogram(),NA,NA,NA,R4DS-2e Ch. 26
dbAppendTable(),NA,NA,NA,R4DS-2e Ch. 26
dbCreateTable(),NA,NA,NA,R4DS-2e Ch. 26
df_types(),NA,NA,NA,R4DS-2e Ch. 26
expand_dates(),NA,NA,NA,R4DS-2e Ch. 26
group_nest(),NA,NA,NA,R4DS-2e Ch. 26
is.Date(),NA,NA,NA,R4DS-2e Ch. 26
is.null(),NA,NA,NA,R4DS-2e Ch. 26
list_rbind(),NA,NA,NA,R4DS-2e Ch. 26
map_vec(),NA,NA,NA,R4DS-2e Ch. 26
rnorm_na(),NA,NA,NA,R4DS-2e Ch. 26
show_missing(),NA,NA,NA,R4DS-2e Ch. 26
summarize_means(),NA,NA,NA,R4DS-2e Ch. 26
weighted.mean(),NA,NA,NA,R4DS-2e Ch. 26
do.call(),NA,NA,NA,R4DS-2e Ch. 27
hist(),NA,NA,NA,R4DS-2e Ch. 27
logical(),NA,NA,NA,R4DS-2e Ch. 27
subset(),NA,NA,NA,R4DS-2e Ch. 27
comma(),NA,NA,NA,R4DS-2e Ch. 28
complicated_transformation(),NA,NA,NA,R4DS-2e Ch. 28
addMarkers(),NA,NA,NA,R4DS-2e Ch. 29
addTiles(),NA,NA,NA,R4DS-2e Ch. 29
leaflet(),NA,NA,NA,R4DS-2e Ch. 29
setView(),NA,NA,NA,R4DS-2e Ch. 29
