"deck","title","decklabel"
"Data types (data_types)","Data types","data_types"
"Operators (operators)","Operators","operators"
"PsyTeachR ADS Ch. 1 (psyteachr_ads1)","PsyTeachR ADS Ch. 1","psyteachr_ads1"
"PsyTeachR ADS Ch. 2 (psyteachr_ads2)","PsyTeachR ADS Ch. 2","psyteachr_ads2"
"PsyTeachR ADS Ch. 3 (psyteachr_ads3)","PsyTeachR ADS Ch. 3","psyteachr_ads3"
"PsyTeachR ADS Ch. 4 (psyteachr_ads4)","PsyTeachR ADS Ch. 4","psyteachr_ads4"
"PsyTeachR ADS Ch. 5 (psyteachr_ads5)","PsyTeachR ADS Ch. 5","psyteachr_ads5"
"PsyTeachR ADS Ch. 7 (psyteachr_ads7)","PsyTeachR ADS Ch. 7","psyteachr_ads7"
"PsyTeachR ADS Ch. 8 (psyteachr_ads8)","PsyTeachR ADS Ch. 8","psyteachr_ads8"
"PsyTeachR ADS Ch. 9 (psyteachr_ads9)","PsyTeachR ADS Ch. 9","psyteachr_ads9"
"PsyTeachR DSRR Ch. 1 (psyteachr_dsrr1)","PsyTeachR DSRR Ch. 1","psyteachr_dsrr1"
"PsyTeachR DSRR Ch. 2 (psyteachr_dsrr2)","PsyTeachR DSRR Ch. 10","psyteachr_dsrr10"
"PsyTeachR DSRR Ch. 3 (psyteachr_dsrr3)","PsyTeachR DSRR Ch. 2","psyteachr_dsrr2"
"PsyTeachR DSRR Ch. 4 (psyteachr_dsrr4)","PsyTeachR DSRR Ch. 3","psyteachr_dsrr3"
"PsyTeachR DSRR Ch. 5 (psyteachr_dsrr5)","PsyTeachR DSRR Ch. 4","psyteachr_dsrr4"
"PsyTeachR DSRR Ch. 6 (psyteachr_dsrr6)","PsyTeachR DSRR Ch. 5","psyteachr_dsrr5"
"PsyTeachR DSRR Ch. 7 (psyteachr_dsrr7)","PsyTeachR DSRR Ch. 6","psyteachr_dsrr6"
"PsyTeachR DSRR Ch. 8 (psyteachr_dsrr8)","PsyTeachR DSRR Ch. 7","psyteachr_dsrr7"
"PsyTeachR DSRR Ch. 9 (psyteachr_dsrr9)","PsyTeachR DSRR Ch. 8","psyteachr_dsrr8"
"PsyTeachR DSRR Ch. 10 (psyteachr_dsrr10)","PsyTeachR DSRR Ch. 9","psyteachr_dsrr9"
"PsyTeachR FQA Ch. 1 (psyteachr_fqa1)","PsyTeachR FQA Ch. 1","psyteachr_fqa1"
"PsyTeachR FQA Ch. 2 (psyteachr_fqa2)","PsyTeachR FQA Ch. 10","psyteachr_fqa10"
"PsyTeachR FQA Ch. 3 (psyteachr_fqa3)","PsyTeachR FQA Ch. 11","psyteachr_fqa11"
"PsyTeachR FQA Ch. 4 (psyteachr_fqa4)","PsyTeachR FQA Ch. 2","psyteachr_fqa2"
"PsyTeachR FQA Ch. 5 (psyteachr_fqa5)","PsyTeachR FQA Ch. 3","psyteachr_fqa3"
"PsyTeachR FQA Ch. 6 (psyteachr_fqa6)","PsyTeachR FQA Ch. 4","psyteachr_fqa4"
"PsyTeachR FQA Ch. 7 (psyteachr_fqa7)","PsyTeachR FQA Ch. 5","psyteachr_fqa5"
"PsyTeachR FQA Ch. 8 (psyteachr_fqa8)","PsyTeachR FQA Ch. 6","psyteachr_fqa6"
"PsyTeachR FQA Ch. 9 (psyteachr_fqa9)","PsyTeachR FQA Ch. 7","psyteachr_fqa7"
"PsyTeachR FQA Ch. 10 (psyteachr_fqa10)","PsyTeachR FQA Ch. 8","psyteachr_fqa8"
"PsyTeachR FQA Ch. 11 (psyteachr_fqa11)","PsyTeachR FQA Ch. 9","psyteachr_fqa9"
"R4DS-2e Ch. 0 (r4ds-2e00)","R4DS-2e Ch. 0","r4ds-2e00"
"R4DS-2e Ch. 1 (r4ds-2e01)","R4DS-2e Ch. 1","r4ds-2e01"
"R4DS-2e Ch. 2 (r4ds-2e02)","R4DS-2e Ch. 2","r4ds-2e02"
"R4DS-2e Ch. 3 (r4ds-2e03)","R4DS-2e Ch. 3","r4ds-2e03"
"R4DS-2e Ch. 4 (r4ds-2e04)","R4DS-2e Ch. 4","r4ds-2e04"
"R4DS-2e Ch. 5 (r4ds-2e05)","R4DS-2e Ch. 5","r4ds-2e05"
"R4DS-2e Ch. 7 (r4ds-2e07)","R4DS-2e Ch. 7","r4ds-2e07"
"R4DS-2e Ch. 9 (r4ds-2e09)","R4DS-2e Ch. 9","r4ds-2e09"
"R4DS-2e Ch. 10 (r4ds-2e10)","R4DS-2e Ch. 10","r4ds-2e10"
"R4DS-2e Ch. 11 (r4ds-2e11)","R4DS-2e Ch. 11","r4ds-2e11"
"R4DS-2e Ch. 12 (r4ds-2e12)","R4DS-2e Ch. 12","r4ds-2e12"
"R4DS-2e Ch. 13 (r4ds-2e13)","R4DS-2e Ch. 13","r4ds-2e13"
"R4DS-2e Ch. 14 (r4ds-2e14)","R4DS-2e Ch. 14","r4ds-2e14"
"R4DS-2e Ch. 15 (r4ds-2e15)","R4DS-2e Ch. 15","r4ds-2e15"
"R4DS-2e Ch. 16 (r4ds-2e16)","R4DS-2e Ch. 16","r4ds-2e16"
"R4DS-2e Ch. 17 (r4ds-2e17)","R4DS-2e Ch. 17","r4ds-2e17"
"R4DS-2e Ch. 18 (r4ds-2e18)","R4DS-2e Ch. 18","r4ds-2e18"
"R4DS-2e Ch. 19 (r4ds-2e19)","R4DS-2e Ch. 19","r4ds-2e19"
"R4DS-2e Ch. 20 (r4ds-2e20)","R4DS-2e Ch. 20","r4ds-2e20"
"R4DS-2e Ch. 21 (r4ds-2e21)","R4DS-2e Ch. 21","r4ds-2e21"
"R4DS-2e Ch. 22 (r4ds-2e22)","R4DS-2e Ch. 22","r4ds-2e22"
"R4DS-2e Ch. 23 (r4ds-2e23)","R4DS-2e Ch. 23","r4ds-2e23"
"R4DS-2e Ch. 24 (r4ds-2e24)","R4DS-2e Ch. 24","r4ds-2e24"
"R4DS-2e Ch. 25 (r4ds-2e25)","R4DS-2e Ch. 25","r4ds-2e25"
"R4DS-2e Ch. 26 (r4ds-2e26)","R4DS-2e Ch. 26","r4ds-2e26"
"R4DS-2e Ch. 27 (r4ds-2e27)","R4DS-2e Ch. 27","r4ds-2e27"
"R4DS-2e Ch. 28 (r4ds-2e28)","R4DS-2e Ch. 28","r4ds-2e28"
"R4DS-2e Ch. 29 (r4ds-2e29)","R4DS-2e Ch. 29","r4ds-2e29"
"R4DS Ch. 1 (r4ds01)","R4DS Ch. 1","r4ds01"
"R4DS Ch. 3 (r4ds03)","R4DS Ch. 3","r4ds03"
"R4DS Ch. 5 (r4ds05)","R4DS Ch. 5","r4ds05"
"R4DS Ch. 7 (r4ds07)","R4DS Ch. 7","r4ds07"
"R4DS Ch. 8 (r4ds08)","R4DS Ch. 8","r4ds08"
"R4DS Ch. 10 (r4ds10)","R4DS Ch. 10","r4ds10"
"R4DS Ch. 11 (r4ds11)","R4DS Ch. 11","r4ds11"
"R4DS Ch. 12 (r4ds12)","R4DS Ch. 12","r4ds12"
"R4DS Ch. 13 (r4ds13)","R4DS Ch. 13","r4ds13"
"R4DS Ch. 14 (r4ds14)","R4DS Ch. 14","r4ds14"
"R4DS Ch. 15 (r4ds15)","R4DS Ch. 15","r4ds15"
"R4DS Ch. 16 (r4ds16)","R4DS Ch. 16","r4ds16"
"R4DS Ch. 18 (r4ds18)","R4DS Ch. 18","r4ds18"
"R4DS Ch. 19 (r4ds19)","R4DS Ch. 19","r4ds19"
"R4DS Ch. 20 (r4ds20)","R4DS Ch. 20","r4ds20"
"R4DS Ch. 21 (r4ds21)","R4DS Ch. 21","r4ds21"
"R4DS Ch. 23 (r4ds23)","R4DS Ch. 23","r4ds23"
"R4DS Ch. 25 (r4ds25)","R4DS Ch. 25","r4ds25"
"R4DS Ch. 27 (r4ds27)","R4DS Ch. 27","r4ds27"
"R4DS Ch. 28 (r4ds28)","R4DS Ch. 28","r4ds28"
"R4DS Ch. 29 (r4ds29)","R4DS Ch. 29","r4ds29"
"R4DS Ch. 30 (r4ds30)","R4DS Ch. 30","r4ds30"
"Vectors (vectors)","Vectors","vectors"
