"term","description","url","package","title"
"as.character()","coerce object to character","https://rdrr.io/r/base/character.html","base","Data types"
"as.factor()","coerce object to factor","https://rdrr.io/r/base/factor.html","base",
"as.numeric()","coerce object to numeric","https://rdrr.io/r/base/numeric.html","base",
"attr()","return or set individual attribute values","https://rdrr.io/r/base/attr.html","base",
"attributes()","return all attributes of vector, matrix, <br> data frame, etc.","https://rdrr.io/r/base/attributes.html","base",
"c()","create vector of numbers, characters, etc.","https://rdrr.io/r/base/c.html","base",
"class()","return object class","https://rdrr.io/r/base/class.html","base",
"data.frame()","create data frame","https://rdrr.io/r/base/data.frame.html","base",
"dim()","return dimensions of matrix, data frame, etc.","https://rdrr.io/r/base/dim.html","base",
"head()","return first rows of matrix, data frame, etc.","https://rdrr.io/r/utils/head.html","utils",
"length()","return number of elements in a vector","https://rdrr.io/r/base/length.html","base",
"matrix()","create matrix of numbers, characters, etc.","https://rdrr.io/r/base/matrix.html","base",
"names()","return (and can assign) column names","https://rdrr.io/r/base/names.html","base",
"ncol()","return number of columns in matrix, <br> data frame, etc.","https://rdrr.io/r/base/ncol.html","base",
"nrow()","return number of rows in matrix, <br> data frame, etc.","https://rdrr.io/r/base/nrow.html","base",
"rep()","create repetitions of numbers, characters, etc.","https://rdrr.io/r/base/rep.html","base",
"seq()","create sequences of numbers","https://rdrr.io/r/base/seq.html","base",
"str()","return object structure","https://rdrr.io/r/utils/str.html","utils",
"tail()","return last rows of matrix, data frame, etc.","https://rdrr.io/r/utils/head.html","utils",
"tibble()","create tibble","https://tibble.tidyverse.org/reference/tibble.html","tibble",
"typeof()","return object type","https://rdrr.io/r/base/typeof.html","base",
