term,description,url,package,title
=,assignment operator,https://rdrr.io/r/base/assignOps.html,base,Operators
<-,assignment operator,https://rdrr.io/r/base/assignOps.html,base,
<<-,assignment operator (in functions for global environment),https://rdrr.io/r/base/assignOps.html,base,
|>,pipe operator (base R),https://rdrr.io/r/base/pipeOp.html,base,
+,addition,https://rdrr.io/r/base/Arithmetic.html,base,
-,subtraction,https://rdrr.io/r/base/Arithmetic.html,base,
*,multiplication,https://rdrr.io/r/base/Arithmetic.html,base,
/,division,https://rdrr.io/r/base/Arithmetic.html,base,
%%,remainder,https://rdrr.io/r/base/Arithmetic.html,base,
%/%,quotient,https://rdrr.io/r/base/Arithmetic.html,base,
^,exponent,https://rdrr.io/r/base/Arithmetic.html,base,
>,greater than,https://rdrr.io/r/base/Comparison.html,base,
<,less than,https://rdrr.io/r/base/Comparison.html,base,
>=,greater than or equal to,https://rdrr.io/r/base/Comparison.html,base,
<=,less than or equal to,https://rdrr.io/r/base/Comparison.html,base,
==,equal to,https://rdrr.io/r/base/Comparison.html,base,
!=,not equal to,https://rdrr.io/r/base/Comparison.html,base,
&,logical AND,https://rdrr.io/r/base/Logic.html,base,
|,logical OR,https://rdrr.io/r/base/Logic.html,base,
!,logical NOT,https://rdrr.io/r/base/Logic.html,base,
:,sequence of integers,https://rdrr.io/r/base/Colon.html,base,
%in%,identify if element is in vector,https://rdrr.io/r/base/match.html,base,
%*%,multiply matrix with its transpose,https://rdrr.io/r/base/matmult.html,base,
::,export variable from package for use,https://rdrr.io/r/base/ns-dblcolon.html,base,
