"","term","description","url","package","title"
"1","library()","load R packages","https://rdrr.io/r/base/library.html","base","psyteachr_ads Ch. 09"
"2","read_csv()","read comma delimited files","https://readr.tidyverse.org/reference/read_delim.html","readr","psyteachr_ads Ch. 09"
"3","select()","keep specified columns","https://dplyr.tidyverse.org/reference/select.html","dplyr","psyteachr_ads Ch. 09"
"4","head()","return first rows of matrix, data frame, etc.","https://rdrr.io/r/utils/head.html","utils","psyteachr_ads Ch. 09"
"5","filter()","keep rows based on values of columns","https://dplyr.tidyverse.org/reference/filter.html","dplyr","psyteachr_ads Ch. 09"
"6","str_detect()","detect presence of pattern in string","https://stringr.tidyverse.org/reference/str_detect.html","stringr","psyteachr_ads Ch. 09"
"7","arrange()","change order of rows based on values of columns","https://dplyr.tidyverse.org/reference/arrange.html","dplyr","psyteachr_ads Ch. 09"
"8","desc()","order in descending order","https://dplyr.tidyverse.org/reference/desc.html","dplyr","psyteachr_ads Ch. 09"
"9","mutate()","create or modify data columns","https://dplyr.tidyverse.org/reference/mutate.html","dplyr","psyteachr_ads Ch. 09"
"10","factor()","encode vector as factor","https://rdrr.io/r/base/factor.html","base","psyteachr_ads Ch. 09"
"11","c()","create vector of numbers, characters, etc.","https://rdrr.io/r/base/c.html","base","psyteachr_ads Ch. 09"
"12","paste()","concatenate character vectors with space between elements","https://rdrr.io/r/base/paste.html","base","psyteachr_ads Ch. 09"
"13","as.factor()","coerce object to factor","https://rdrr.io/r/base/factor.html","base","psyteachr_ads Ch. 09"
"14","case_when()","conditionally set values across multiple conditions","https://dplyr.tidyverse.org/reference/case_when.html","dplyr","psyteachr_ads Ch. 09"
"15","pivot_longer()","pivot data frame to be longer","https://tidyr.tidyverse.org/reference/pivot_longer.html","tidyr","psyteachr_ads Ch. 09"
"16","pivot_wider()","pivot data frame to be wider","https://tidyr.tidyverse.org/reference/pivot_wider.html","tidyr","psyteachr_ads Ch. 09"
"17","summarise()",NA,NA,NA,"psyteachr_ads Ch. 09"
"18","mean()","calculate mean of elements of vector","https://rdrr.io/r/base/mean.html","base","psyteachr_ads Ch. 09"
"19","min()","compute minima of input values","https://rdrr.io/r/base/Extremes.html","base","psyteachr_ads Ch. 09"
"20","max()","compute maxima of input values","https://rdrr.io/r/base/Extremes.html","base","psyteachr_ads Ch. 09"
"21","group_by()","group data by levels of column","https://dplyr.tidyverse.org/reference/group_by.html","dplyr","psyteachr_ads Ch. 09"
"22","ungroup()","remove grouping","https://dplyr.tidyverse.org/reference/group_by.html","dplyr","psyteachr_ads Ch. 09"
"23","slice_max()",NA,NA,NA,"psyteachr_ads Ch. 09"
"24","across()","apply transformation across multiple columns","https://dplyr.tidyverse.org/reference/across.html","dplyr","psyteachr_ads Ch. 09"
"25","round()","round values to specified number of digits","https://rdrr.io/r/base/Round.html","base","psyteachr_ads Ch. 09"
"26","round_half_up()",NA,NA,NA,"psyteachr_ads Ch. 09"
"27","tibble()","create tibble","https://tibble.tidyverse.org/reference/tibble.html","tibble","psyteachr_ads Ch. 09"
"28","as.character()","coerce object to character","https://rdrr.io/r/base/character.html","base","psyteachr_ads Ch. 09"
"29","str()","return object structure","https://rdrr.io/r/utils/str.html","utils","psyteachr_ads Ch. 09"
"30","na_if()","replace values with NA","https://dplyr.tidyverse.org/reference/na_if.html","dplyr","psyteachr_ads Ch. 09"
"31","as.numeric()","coerce object to numeric","https://rdrr.io/r/base/numeric.html","base","psyteachr_ads Ch. 09"
"32","sum()","sum elements of vector","https://rdrr.io/r/base/sum.html","base","psyteachr_ads Ch. 09"
"33","is.na()","determine whether elements of vector are missing","https://rdrr.io/r/base/NA.html","base","psyteachr_ads Ch. 09"
"34","drop_na()","drop rows containing missing values","https://tidyr.tidyverse.org/reference/drop_na.html","tidyr","psyteachr_ads Ch. 09"
"35","ggplot()","create a plotting area","https://ggplot2.tidyverse.org/reference/ggplot.html","ggplot2","psyteachr_ads Ch. 09"
"36","aes()","create aesthetic mappings between data and plot","https://ggplot2.tidyverse.org/reference/aes.html","ggplot2","psyteachr_ads Ch. 09"
"37","geom_histogram()","create histogram of counts as bars","https://ggplot2.tidyverse.org/reference/geom_histogram.html","ggplot2","psyteachr_ads Ch. 09"
"38","facet_wrap()","create subplots from one variable","https://ggplot2.tidyverse.org/reference/facet_wrap.html","ggplot2","psyteachr_ads Ch. 09"
"39","labs()","modify axis, legend, and plot labels","https://ggplot2.tidyverse.org/reference/labs.html","ggplot2","psyteachr_ads Ch. 09"
"40","pull()","extract a single column","https://dplyr.tidyverse.org/reference/pull.html","dplyr","psyteachr_ads Ch. 09"
"41","geom_bar()","create bar chart based on counts in data","https://ggplot2.tidyverse.org/reference/geom_bar.html","ggplot2","psyteachr_ads Ch. 09"
"42","left_join()","join two data sets keeping the observations in the left one","https://dplyr.tidyverse.org/reference/mutate-joins.html","dplyr","psyteachr_ads Ch. 09"
"43","count()","count unique values of variables","https://dplyr.tidyverse.org/reference/count.html","dplyr","psyteachr_ads Ch. 09"
"44","year()","return or set year component of a date-time","https://lubridate.tidyverse.org/reference/year.html","lubridate","psyteachr_ads Ch. 09"
"45","data()","load specific data set","https://rdrr.io/r/utils/data.html","utils","psyteachr_ads Ch. 09"
"46","n()","return current group size","https://dplyr.tidyverse.org/reference/context.html","dplyr","psyteachr_ads Ch. 09"
