term,description,url,title
argument,A variable that provides input to a function.,https://psyteachr.github.io/glossary/a.html#argument,PsyTeachR ADS Ch. 1
base R,"The set of R functions that come with a basic installation of R, before you add external packages",https://psyteachr.github.io/glossary/b.html#base-r,PsyTeachR ADS Ch. 1
character,A data type representing strings of text.,https://psyteachr.github.io/glossary/c.html#character,PsyTeachR ADS Ch. 1
chunk,A section of code in an R Markdown file,https://psyteachr.github.io/glossary/c.html#chunk,PsyTeachR ADS Ch. 1
conflict,Having two packages loaded that have a function with the same name.,https://psyteachr.github.io/glossary/c.html#conflict,PsyTeachR ADS Ch. 1
CRAN,"The Comprehensive R Archive Network: a network of ftp and web servers around the world that store identical, up-to-date, versions of code and documentation for R.",https://psyteachr.github.io/glossary/c.html#cran,PsyTeachR ADS Ch. 1
data wrangling,The process of preparing data for visualisation and statistical analysis.,https://psyteachr.github.io/glossary/d.html#data-wrangling,PsyTeachR ADS Ch. 1
factor,A data type where a specific set of values are stored with labels; An explanatory variable manipulated by the experimenter,https://psyteachr.github.io/glossary/f.html#factor,PsyTeachR ADS Ch. 1
function,A named section of code that can be reused.,https://psyteachr.github.io/glossary/f.html#function,PsyTeachR ADS Ch. 1
IDE,"Integrated Development Environment: a program that serves as a text editor, file manager, and provides functions to help you read and write code. RStudio is an IDE for R.",https://psyteachr.github.io/glossary/i.html#ide,PsyTeachR ADS Ch. 1
knit,"To create an HTML, PDF, or Word document from an R Markdown (Rmd) document",https://psyteachr.github.io/glossary/k.html#knit,PsyTeachR ADS Ch. 1
numeric,A data type representing a real decimal number or integer.,https://psyteachr.github.io/glossary/n.html#numeric,PsyTeachR ADS Ch. 1
object,A word that identifies and stores the value of some data for later use.,https://psyteachr.github.io/glossary/o.html#object,PsyTeachR ADS Ch. 1
package,A group of R functions.,https://psyteachr.github.io/glossary/p.html#package,PsyTeachR ADS Ch. 1
panes,"RStudio is arranged with four window ""panes"".",https://psyteachr.github.io/glossary/p.html#panes,PsyTeachR ADS Ch. 1
R markdown,"The R-specific version of markdown: a way to specify formatting, such as headers, paragraphs, lists, bolding, and links, as well as code blocks and inline code.",https://psyteachr.github.io/glossary/r.html#r-markdown,PsyTeachR ADS Ch. 1
reproducibility,The extent to which the findings of a study can be repeated in some other context,https://psyteachr.github.io/glossary/r.html#reproducibility,PsyTeachR ADS Ch. 1
script,"A plain-text file that contains commands in a coding language, such as R.",https://psyteachr.github.io/glossary/s.html#script,PsyTeachR ADS Ch. 1
string,A piece of text inside of quotes.,https://psyteachr.github.io/glossary/s.html#string,PsyTeachR ADS Ch. 1
vector,"A type of data structure that collects values with the same data type, like T/F values, numbers, or strings.",https://psyteachr.github.io/glossary/v.html#vector,PsyTeachR ADS Ch. 1
