"","term","description","url","package","title"
"1","library()","load R packages","https://rdrr.io/r/base/library.html","base","psyteachr_dsrr Ch. 02"
"2","Sys.Date()","return system date","https://rdrr.io/r/base/Sys.time.html","base","psyteachr_dsrr Ch. 02"
"3","as.Date()","convert to date","https://rdrr.io/r/base/as.Date.html","base","psyteachr_dsrr Ch. 02"
"4","read_csv()","read comma delimited files","https://readr.tidyverse.org/reference/read_delim.html","readr","psyteachr_dsrr Ch. 02"
"5","count()","count unique values of variables","https://dplyr.tidyverse.org/reference/count.html","dplyr","psyteachr_dsrr Ch. 02"
"6","nrow()","return number of rows in matrix, data frame, etc.","https://rdrr.io/r/base/nrow.html","base","psyteachr_dsrr Ch. 02"
"7","mean()","calculate mean of elements of vector","https://rdrr.io/r/base/mean.html","base","psyteachr_dsrr Ch. 02"
"8","ggplot()","create a plotting area","https://ggplot2.tidyverse.org/reference/ggplot.html","ggplot2","psyteachr_dsrr Ch. 02"
"9","aes()","create aesthetic mappings between data and plot","https://ggplot2.tidyverse.org/reference/aes.html","ggplot2","psyteachr_dsrr Ch. 02"
"10","geom_point()","add layer of points to plot","https://ggplot2.tidyverse.org/reference/geom_point.html","ggplot2","psyteachr_dsrr Ch. 02"
"11","labs()","modify axis, legend, and plot labels","https://ggplot2.tidyverse.org/reference/labs.html","ggplot2","psyteachr_dsrr Ch. 02"
"12","last_plot()",NA,NA,NA,"psyteachr_dsrr Ch. 02"
"13","citation()",NA,NA,NA,"psyteachr_dsrr Ch. 02"
"14","toBibtex()",NA,NA,NA,"psyteachr_dsrr Ch. 02"
"15","tribble()","create row-wise tibble","https://tibble.tidyverse.org/reference/tribble.html","tibble","psyteachr_dsrr Ch. 02"
"16","today()","return the current date","https://lubridate.tidyverse.org/reference/now.html","lubridate","psyteachr_dsrr Ch. 02"
"17","n()","return current group size","https://dplyr.tidyverse.org/reference/context.html","dplyr","psyteachr_dsrr Ch. 02"
"18","year()","return or set year component of a date-time","https://lubridate.tidyverse.org/reference/year.html","lubridate","psyteachr_dsrr Ch. 02"
