term,description,url,title
absolute path,A file path that starts with / and is not appended to the working directory,https://psyteachr.github.io/glossary/a.html#absolute-path,PsyTeachR DSRR Ch. 2
chunk,A section of code in an R Markdown file,https://psyteachr.github.io/glossary/c.html#chunk,PsyTeachR DSRR Ch. 2
directory,"A collection or ""folder"" of files on a computer.",https://psyteachr.github.io/glossary/d.html#directory,PsyTeachR DSRR Ch. 2
extension,"The end part of a file name that tells you what type of file it is (e.g., .R or .Rmd).",https://psyteachr.github.io/glossary/e.html#extension,PsyTeachR DSRR Ch. 2
knit,"To create an HTML, PDF, or Word document from an R Markdown (Rmd) document",https://psyteachr.github.io/glossary/k.html#knit,PsyTeachR DSRR Ch. 2
markdown,"A way to specify formatting, such as headers, paragraphs, lists, bolding, and links.",https://psyteachr.github.io/glossary/m.html#markdown,PsyTeachR DSRR Ch. 2
path,A string representing the location of a file or directory.,https://psyteachr.github.io/glossary/p.html#path,PsyTeachR DSRR Ch. 2
project,A way to organise related files in RStudio,https://psyteachr.github.io/glossary/p.html#project,PsyTeachR DSRR Ch. 2
R markdown,"The R-specific version of markdown: a way to specify formatting, such as headers, paragraphs, lists, bolding, and links, as well as code blocks and inline code.",https://psyteachr.github.io/glossary/r.html#r-markdown,PsyTeachR DSRR Ch. 2
relative path,The location of a file in relation to the working directory.,https://psyteachr.github.io/glossary/r.html#relative-path,PsyTeachR DSRR Ch. 2
reproducibility,The extent to which the findings of a study can be repeated in some other context,https://psyteachr.github.io/glossary/r.html#reproducibility,PsyTeachR DSRR Ch. 2
working directory,The filepath where R is currently reading and writing files.,https://psyteachr.github.io/glossary/w.html#working-directory,PsyTeachR DSRR Ch. 2
YAML,A structured format for information,https://psyteachr.github.io/glossary/y.html#yaml,PsyTeachR DSRR Ch. 2
