"","term","description","url","package","title"
"1","inner_join()","join two data sets keeping the observations that they have in common","https://dplyr.tidyverse.org/reference/mutate-joins.html","dplyr","psyteachr_fqa Ch. 04"
"2","c()","create vector of numbers, characters, etc.","https://rdrr.io/r/base/c.html","base","psyteachr_fqa Ch. 04"
"3","select()","keep specified columns","https://dplyr.tidyverse.org/reference/select.html","dplyr","psyteachr_fqa Ch. 04"
"4","arrange()","change order of rows based on values of columns","https://dplyr.tidyverse.org/reference/arrange.html","dplyr","psyteachr_fqa Ch. 04"
"5","desc()","order in descending order","https://dplyr.tidyverse.org/reference/desc.html","dplyr","psyteachr_fqa Ch. 04"
"6","mutate()","create or modify data columns","https://dplyr.tidyverse.org/reference/mutate.html","dplyr","psyteachr_fqa Ch. 04"
"7","as.factor()","coerce object to factor","https://rdrr.io/r/base/factor.html","base","psyteachr_fqa Ch. 04"
"8","case_match()",NA,NA,NA,"psyteachr_fqa Ch. 04"
"9","case_when()","conditionally set values across multiple conditions","https://dplyr.tidyverse.org/reference/case_when.html","dplyr","psyteachr_fqa Ch. 04"
"10","id()",NA,NA,NA,"psyteachr_fqa Ch. 04"
