"","term","description","url","package","title"
"1","library()","load R packages","https://rdrr.io/r/base/library.html","base","R4DS-2e Ch. 19"
"2","count()","count unique values of variables","https://dplyr.tidyverse.org/reference/count.html","dplyr","R4DS-2e Ch. 19"
"3","filter()","keep rows based on values of columns","https://dplyr.tidyverse.org/reference/filter.html","dplyr","R4DS-2e Ch. 19"
"4","is.na()","determine whether elements of vector are missing","https://rdrr.io/r/base/NA.html","base","R4DS-2e Ch. 19"
"5","mutate()","create or modify data columns","https://dplyr.tidyverse.org/reference/mutate.html","dplyr","R4DS-2e Ch. 19"
"6","row_number()","rank vector elements with ties set to first","https://dplyr.tidyverse.org/reference/ranking.html","dplyr","R4DS-2e Ch. 19"
"7","select()","keep specified columns","https://dplyr.tidyverse.org/reference/select.html","dplyr","R4DS-2e Ch. 19"
"8","left_join()","join two data sets keeping the observations in the left one","https://dplyr.tidyverse.org/reference/mutate-joins.html","dplyr","R4DS-2e Ch. 19"
"9","join_by()",NA,"https://dplyr.tidyverse.org/reference/join_by.html","dplyr","R4DS-2e Ch. 19"
"10","semi_join()","join two data sets keeping all observations in x that have a match in y","https://dplyr.tidyverse.org/reference/filter-joins.html","dplyr","R4DS-2e Ch. 19"
"11","anti_join()","join two data sets dropping all observations in x that have a match in y","https://dplyr.tidyverse.org/reference/filter-joins.html","dplyr","R4DS-2e Ch. 19"
"12","distinct()","select only unique/distinct rows from data frame","https://dplyr.tidyverse.org/reference/distinct.html","dplyr","R4DS-2e Ch. 19"
"13","head()","return first rows of matrix, data frame, etc.","https://rdrr.io/r/utils/head.html","utils","R4DS-2e Ch. 19"
"14","tribble()","create row-wise tibble","https://tibble.tidyverse.org/reference/tribble.html","tibble","R4DS-2e Ch. 19"
"15","tibble()","create tibble","https://tibble.tidyverse.org/reference/tibble.html","tibble","R4DS-2e Ch. 19"
"16","c()","create vector of numbers, characters, etc.","https://rdrr.io/r/base/c.html","base","R4DS-2e Ch. 19"
"17","inner_join()","join two data sets keeping the observations that they have in common","https://dplyr.tidyverse.org/reference/mutate-joins.html","dplyr","R4DS-2e Ch. 19"
"18","cross_join()",NA,NA,NA,"R4DS-2e Ch. 19"
"19","ymd()","parse dates with year, month, and day components","https://lubridate.tidyverse.org/reference/ymd.html","lubridate","R4DS-2e Ch. 19"
"20","set.seed()",NA,NA,NA,"R4DS-2e Ch. 19"
"21","sample()","randomly sample from vector","https://rdrr.io/r/base/sample.html","base","R4DS-2e Ch. 19"
"22","closest()",NA,NA,NA,"R4DS-2e Ch. 19"
"23","overlaps()",NA,NA,NA,"R4DS-2e Ch. 19"
"24","between()","determine if values in a numeric vector fall in specified range","https://dplyr.tidyverse.org/reference/between.html","dplyr","R4DS-2e Ch. 19"
"25","full_join()","join two data sets keeping the observations in both","https://dplyr.tidyverse.org/reference/mutate-joins.html","dplyr","R4DS-2e Ch. 19"
"26","n()","return current group size","https://dplyr.tidyverse.org/reference/context.html","dplyr","R4DS-2e Ch. 19"
"27","year()","return or set year component of a date-time","https://lubridate.tidyverse.org/reference/year.html","lubridate","R4DS-2e Ch. 19"
"28","df()",NA,NA,NA,"R4DS-2e Ch. 19"
"29","id()",NA,NA,NA,"R4DS-2e Ch. 19"
"30","start()",NA,NA,NA,"R4DS-2e Ch. 19"
"31","end()",NA,NA,NA,"R4DS-2e Ch. 19"
"32","q()",NA,NA,NA,"R4DS-2e Ch. 19"
