"","term","description","package","title"
"1","arrange()","change order of rows based on values of columns","dplyr","R4DS-2e Ch. 21"
"2","as_tibble()","coerce object into tibble","tibble","R4DS-2e Ch. 21"
"3","c()","create vector of numbers, characters, etc.","base","R4DS-2e Ch. 21"
"4","case_when()","conditionally set values across multiple conditions","dplyr","R4DS-2e Ch. 21"
"5","collect()","retrieve data from a database into a local tibble","dplyr","R4DS-2e Ch. 21"
"7","cut()","divide range of vector into intervals","base","R4DS-2e Ch. 21"
"8","dbConnect()","create connection to database","DBI","R4DS-2e Ch. 21"
"9","dbGetQuery()","return results of database query as data frame","DBI","R4DS-2e Ch. 21"
"11","dbReadTable()","read database table to data frame","DBI","R4DS-2e Ch. 21"
"12","dbWriteTable()","write a data frame to database table","DBI","R4DS-2e Ch. 21"
"13","desc()","order in descending order","dplyr","R4DS-2e Ch. 21"
"16","filter()","keep rows based on values of columns","dplyr","R4DS-2e Ch. 21"
"17","group_by()","group data by levels of column","dplyr","R4DS-2e Ch. 21"
"18","if_else()","vectorized if statement that checks conditionals and returns different outputs based on answer","dplyr","R4DS-2e Ch. 21"
"19","is.na()","determine whether elements of vector are missing","base","R4DS-2e Ch. 21"
"20","lag()","find the previous values in a vector","dplyr","R4DS-2e Ch. 21"
"21","lead()","find the next values in a vector","dplyr","R4DS-2e Ch. 21"
"22","left_join()","join two data sets keeping the observations in the left one","dplyr","R4DS-2e Ch. 21"
"23","library()","load R packages","base","R4DS-2e Ch. 21"
"24","mean()","calculate mean of elements of vector","base","R4DS-2e Ch. 21"
"25","median()","compute sample median","stats","R4DS-2e Ch. 21"
"26","mutate()","create or modify data columns","dplyr","R4DS-2e Ch. 21"
"28","n()","return current group size","dplyr","R4DS-2e Ch. 21"
"30","relocate()","change column order","dplyr","R4DS-2e Ch. 21"
"31","rename()","rename columns","dplyr","R4DS-2e Ch. 21"
"32","select()","keep specified columns","dplyr","R4DS-2e Ch. 21"
"33","show_query()","give details about database table object","dplyr","R4DS-2e Ch. 21"
"35","summarize()","summarize data usually by grouping variable","dplyr","R4DS-2e Ch. 21"
"37","tbl()","create a database table from data source","dplyr","R4DS-2e Ch. 21"
