term,description,url,package,title
aes(),create aesthetic mappings between data and plot,https://ggplot2.tidyverse.org/reference/aes.html,ggplot2,R4DS Chapter 12
c(),"create vector of numbers, characters, etc.",https://rdrr.io/r/base/c.html,base,R4DS Chapter 12
complete(),complete a data frame with missing combinations of data,https://tidyr.tidyverse.org/reference/complete.html,tidyr,R4DS Chapter 12
count(),count unique values of variables,https://dplyr.tidyverse.org/reference/count.html,dplyr,R4DS Chapter 12
fill(),fill in missing values,https://tidyr.tidyverse.org/reference/fill.html,tidyr,R4DS Chapter 12
geom_line(),add layer of data lines to plot,https://ggplot2.tidyverse.org/reference/geom_path.html,ggplot2,R4DS Chapter 12
geom_point(),add layer of points to plot,https://ggplot2.tidyverse.org/reference/geom_point.html,ggplot2,R4DS Chapter 12
ggplot(),create a plotting area,https://ggplot2.tidyverse.org/reference/ggplot.html,ggplot2,R4DS Chapter 12
mutate(),create or modify data columns,https://dplyr.tidyverse.org/reference/mutate.html,dplyr,R4DS Chapter 12
pivot_longer(),pivot data frame to be longer,https://tidyr.tidyverse.org/reference/pivot_longer.html,tidyr,R4DS Chapter 12
pivot_wider(),pivot data frame to be wider,https://tidyr.tidyverse.org/reference/pivot_wider.html,tidyr,R4DS Chapter 12
select(),keep specified columns,https://dplyr.tidyverse.org/reference/select.html,dplyr,R4DS Chapter 12
separate(),split single column into multiple columns,https://tidyr.tidyverse.org/reference/separate.html,tidyr,R4DS Chapter 12
str_replace(),replace first matched pattern in a string,https://stringr.tidyverse.org/reference/str_replace.html,stringr,R4DS Chapter 12
tibble(),create tibble,https://tibble.tidyverse.org/reference/tibble.html,tibble,R4DS Chapter 12
tribble(),create row-wise tibble,https://tibble.tidyverse.org/reference/tribble.html,tibble,R4DS Chapter 12
unite(),combine multiple columns into single column,https://tidyr.tidyverse.org/reference/unite.html,tidyr,R4DS Chapter 12
