"","term","description","package","title"
"1","aes()","create aesthetic mappings between data and plot","ggplot2","R4DS2e Ch. 9"
"2","after_stat()","evaluate aesthetic mapping after statistical transformation","ggplot2","R4DS2e Ch. 9"
"3","c()","create vector of numbers, characters, etc.","base","R4DS2e Ch. 9"
"4","class()","return object class","base","R4DS2e Ch. 9"
"5","coord_fixed()","force aspect ratio between data units on axes","ggplot2","R4DS2e Ch. 9"
"6","coord_flip()","switch x and y axes","ggplot2","R4DS2e Ch. 9"
"7","coord_polar()","use polar coordinates","ggplot2","R4DS2e Ch. 9"
"8","coord_quickmap()","set aspect ratio correctly for maps","ggplot2","R4DS2e Ch. 9"
"9","count()","count unique values of variables","dplyr","R4DS2e Ch. 9"
"10","cut()","divide range of vector into intervals","base","R4DS2e Ch. 9"
"12","facet_grid()","create grid of subplots from multiple variables","ggplot2","R4DS2e Ch. 9"
"13","facet_wrap()","create subplots from one variable","ggplot2","R4DS2e Ch. 9"
"14","filter()","keep rows based on values of columns","dplyr","R4DS2e Ch. 9"
"15","geom_abline()","add vertical, horizontal, or diagonal reference lines","ggplot2","R4DS2e Ch. 9"
"16","geom_bar()","create bar chart based on counts in data","ggplot2","R4DS2e Ch. 9"
"17","geom_boxplot()","add layer of boxplots to plot","ggplot2","R4DS2e Ch. 9"
"20","geom_histogram()","create histogram of counts as bars","ggplot2","R4DS2e Ch. 9"
"21","geom_point()","add layer of points to plot","ggplot2","R4DS2e Ch. 9"
"22","geom_polygon()","add layer of polygons to plot","ggplot2","R4DS2e Ch. 9"
"23","geom_smooth()","create smoothed lines to plot","ggplot2","R4DS2e Ch. 9"
"24","geom_text()","adds text to plot","ggplot2","R4DS2e Ch. 9"
"25","ggplot()","create a plotting area","ggplot2","R4DS2e Ch. 9"
"27","library()","load R packages","base","R4DS2e Ch. 9"
"29","max()","compute maxima of input values","base","R4DS2e Ch. 9"
"30","median()","compute sample median","stats","R4DS2e Ch. 9"
"31","min()","compute minima of input values","base","R4DS2e Ch. 9"
"33","scale_x_continuous()","scale x axis to be continuous","ggplot2","R4DS2e Ch. 9"
"34","scale_y_continuous()","scale y axis to be continuous","ggplot2","R4DS2e Ch. 9"
"36","stat_summary()","summarize y values for each x value","ggplot2","R4DS2e Ch. 9"
"37","theme()","customize non-data components of plot","ggplot2","R4DS2e Ch. 9"
"39","tibble()","create tibble","tibble","R4DS2e Ch. 9"
