"term","description","url","package","title"
"any_of()","check if any any elements are found in vector","https://tidyselect.r-lib.org/reference/all_of.html","tidyselect","R4DS Chapter 5"
"arrange()","change order of rows based on values of columns","https://dplyr.tidyverse.org/reference/arrange.html","dplyr",
"contains()","match column names that contain string","https://tidyselect.r-lib.org/reference/starts_with.html","tidyselect",
"count()","count unique values of variables","https://dplyr.tidyverse.org/reference/count.html","dplyr",
"desc()","order in descending order","https://dplyr.tidyverse.org/reference/desc.html","dplyr",
"ends_with()","match column names that end with string","https://tidyselect.r-lib.org/reference/starts_with.html","tidyselect",
"filter()","keep rows based on values of columns","https://dplyr.tidyverse.org/reference/filter.html","dplyr",
"group_by()","group data by levels of column","https://dplyr.tidyverse.org/reference/group_by.html","dplyr",
"mutate()","add new columns calculated from existing columns","https://dplyr.tidyverse.org/reference/mutate.html","dplyr",
"n()","return current group size","https://dplyr.tidyverse.org/reference/context.html","dplyr",
"num_range()","match column names with number range","https://tidyselect.r-lib.org/reference/starts_with.html","tidyselect",
"rename()","rename columns","https://dplyr.tidyverse.org/reference/rename.html","dplyr",
"select()","keep specified columns","https://dplyr.tidyverse.org/reference/select.html","dplyr",
"starts_with()","match column names that begin with string","https://tidyselect.r-lib.org/reference/starts_with.html","tidyselect",
"summarize()","summarize data usually by grouping variable","https://dplyr.tidyverse.org/reference/summarise.html","dplyr",
"ungroup()","remove grouping","https://dplyr.tidyverse.org/reference/group_by.html","dplyr",
