"term","description","url","package","title"
":","create integer sequence","https://rdrr.io/r/base/Colon.html","base","Vectors"
"[]","subset elements of vector",,"base",
"c()","create vector of numbers, characters, etc.","https://rdrr.io/r/base/c.html","base",
"head()","return first elements of vector","https://rdrr.io/r/utils/head.html","utils",
"is.vector()","check if object is vector","https://rdrr.io/r/base/vector.html","base",
"length()","return number of elements in a vector","https://rdrr.io/r/base/length.html","base",
"list()","create recursive vector (list)","https://rdrr.io/r/base/list.html","base",
"names()","return (and can assign) column names","https://rdrr.io/r/base/names.html","base",
"rep()","create repetitions of numbers, characters, etc.","https://rdrr.io/r/base/rep.html","base",
"sample()","randomly sample from vector","https://rdrr.io/r/base/sample.html","base",
"seq()","create sequences of numbers","https://rdrr.io/r/base/seq.html","base",
"str()","return object structure","https://rdrr.io/r/utils/str.html","utils",
"tail()","return last elements of vector","https://rdrr.io/r/utils/head.html","utils",
"typeof()","return object type","https://rdrr.io/r/base/typeof.html","base",
